,category,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score
17,Ordinary Drink,Cocktail glass,"['Blended Whiskey', 'Dry Vermouth', 'Pineapple Juice']",93,13,4.0
18,Ordinary Drink,Cocktail glass,"['Blackberry Brandy', 'Bourbon', 'Dry Vermouth', 'Lemon Juice', 'Lemon Peel']",128,10,4.0
19,Ordinary Drink,Cocktail glass,"['Gin', 'Dry Vermouth', 'Kummel']",80,13,4.0
20,Ordinary Drink,Cocktail glass,"['Dark Rum', 'Egg White', 'Kahlua']",113,13,5.999999999999999
21,Ordinary Drink,Cocktail glass,"['Amaretto', 'Creme De Cacao', 'Light Cream']",72,9,5.999999999999999
22,Ordinary Drink,Cocktail glass,"['Amaretto', 'Light Cream']",78,14,4.0
23,Ordinary Drink,Old-fashioned glass,"['Amaretto', 'Lime']",152,14,10.0
24,Ordinary Drink,Collins glass,"['Amaretto', 'Club Soda', 'Lime Juice']",88,9,2.0
25,Ordinary Drink,Cocktail glass,"['Amaretto', 'White Creme de Menthe']",81,14,8.0
26,Ordinary Drink,Pousse cafe glass,"['Amaretto', 'Tea', 'Whipped Cream']",155,9,10.0
27,Ordinary Drink,Cocktail glass,"['Gin', 'Apple Brandy', 'Apricot Brandy']",73,33,2.0
28,Ordinary Drink,Cocktail glass,"['Applejack', 'Lemon Juice', 'Triple Sec']",72,13,5.999999999999999
29,Ordinary Drink,Old-fashioned glass,"['Apricot Brandy', 'Egg White', 'Lemon Juice', 'Light Rum', 'Orange', 'Triple Sec']",220,4,10.0
30,Ordinary Drink,Old-fashioned glass,"['Gin', 'Benedictine', 'Lime', 'Wine']",98,13,5.999999999999999
31,Ordinary Drink,Champagne flute,"['Champagne', 'Green Creme de Menthe']",82,6,4.0
32,Ordinary Drink,Whiskey sour glass,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Lemon Peel']",159,10,8.0
33,Ordinary Drink,Cocktail glass,"['Gin', 'Bitters', 'Sweet Vermouth']",71,13,5.999999999999999
34,Ordinary Drink,Cocktail glass,"['Scotch', 'Bitters', 'Dry Vermouth', 'Sweet Vermouth']",118,10,5.999999999999999
35,Ordinary Drink,Champagne flute,"['Banana', 'Cherry', 'Light Rum', 'Lime Juice', 'Sugar', 'Triple Sec']",94,10,2.0
36,Ordinary Drink,Highball glass,"['Gin', 'Brandy', 'Carbonated Water', 'Dry Vermouth', 'Lemon Peel']",211,8,10.0
37,Ordinary Drink,Old-fashioned glass,"['Vodka', 'Coffee Liqueur']",84,20,4.0
38,Ordinary Drink,Cocktail glass,"['Lemon Peel', 'Sloe Gin', 'Sweet Vermouth']",108,10,5.999999999999999
39,Ordinary Drink,Old-fashioned glass,"['Tequila', 'Celery Salt', 'Lemon Juice', 'lemon', 'Tabasco Sauce', 'Tomato Juice']",148,6,8.0
40,Ordinary Drink,Old-fashioned glass,"['Vodka', 'Lemon Juice', 'Lime', 'Tabasco Sauce', 'Tomato Juice', 'Worcestershire Sauce']",67,6,5.999999999999999
41,Ordinary Drink,Highball glass,"['Vodka', 'Blue Curacao', 'Cherry', 'Lemonade']",104,10,2.0
42,Ordinary Drink,Cocktail glass,"['Tequila', 'Blue Curacao', 'Lime Juice', 'Salt']",166,10,4.0
43,Ordinary Drink,Old-fashioned glass,"['Vodka', 'Añejo Rum', 'Lemon Juice', 'Orange Juice', 'Tia Maria']",148,15,8.0
44,Ordinary Drink,Cocktail glass,"['Gin', 'Bitters', 'Blue Curacao', 'Lemon Peel', 'Maraschino Cherry', 'Triple Sec']",187,6,8.0
